tk_number,address,lat,lng,offices
3020,"Москва, Москва, Шипиловская 37, к1",55.6222537,37.7334252,""
3028,"Москва, МСК, Щелковское шоссе 92к8",55.8095012,37.8227965,""
3029,"Московская область, МО, д. Голубое, ул. Трехсвятская, стр. 1 М",55.9803547,37.1009124,""
3031,"Московская область, МО, Истра, Снегири, ул. Московская 24",55.8882774,37.0322172,""
3034,"Москва, Москва, Варшавское ш., 168",55.5840582,37.5800824,""
3035,"Москва, Котельники",55.6616680,37.8673073,""
3038,"Москва, МСК, Московский 1ый мкр. д. 158",55.7505412,37.6174782,"Мелкумян"
3045,"Москва, г. Москва Профсоюзная ул., д. 27, к. 1",55.7505412,37.6174782,""
3046,"Москва, МСК, Хорошевское ш. 38с5",55.7780304,37.5361614,""
3048,"Москва, Зеленоград к. 117",56.0070965,37.2037526,""
3061,"Московская область, мо Мытищи Комарова ул., д. 3",55.9206531,37.7416701,""
3064,"Московская область, МО, Серпухов, Водонапорная, 38",54.9193752,37.4351678,""
3065,"Московская область, МО Ожерелье, Ленина 3А",54.7888640,38.2530909,""
3067,"Москва, г. Москва Профсоюзная ул., д. 27, к. 1",55.7505412,37.6174782,""
3069,"Москва, 77, г.Москва, Новодмитровская",55.5060811,37.5749649,""
3070,"Москва, ул. Складочная, д. 1, стр. пом",55.7754299,37.4659425,""
3071,"Москва, Москва ул. Дубки д. 2",55.8195943,37.5639201,""
3077,"Московская область, ул. Гагарина 3А",55.7977169,37.2013043,""
3080,"Москва, Москва Каширское шоссе, д. 65 кор 3",55.6163546,37.7163254,""
3084,"Московская область, Лобня Батарейная 6",56.0219653,37.4805907,""
3085,"Москва, Москва Митинская, 29",55.8468977,37.3574078,""
3089,"Москва, Москва Маломосковская ул, д 14",55.8113662,37.6537419,""
3090,"Москва, Москва Пресненская набережная, 10c2",55.7456698,37.5364632,"Новикова"
3092,"Московская область, Орехово-Зуево ул. Ленина, 44",55.8024054,38.9819919,""
3096,"Московская область, Электросталь Спортивная, 20",55.8000599,38.4860348,""
3099,"Москва, ул. Сиреневая д. 9",55.4303344,37.7313820,""
3110,"Москва, 77, г.Москва, ул. Шипиловская, д.1",55.6192489,37.7371436,""
3119,"Московская область, 40, д. Воробьи, ул. Московская, д. 21",55.1462017,36.8043545,""
3122,"Московская область, Лобня, Ленина 19к",56.0117670,37.4787244,""
3137,"Московская область, 50, Серпухов, д. Дашковка, д.94б",54.8980817,37.3364058,""
3147,"Московская область, 50, Кашира, ул.Садовая, д.24",54.8449459,38.2451144,""
3149,"Московская область,",55.5043158,38.0353929,""
3165,"Москва, 77, г. Москва, ул. Большая Почтовая д.28",55.5060811,37.5749649,""
3169,"Московская область, 50, Шатура, ул. Радченко, д.12",55.5796393,39.5437423,""
3196,"Московская область,",55.5043158,38.0353929,""
3197,"Московская область,",55.5043158,38.0353929,""
6002,"Москва, Московская обл., г. Подольск, д. Валищево, промышленного парка Валищево тер. 3",55.3237129,37.6769929,""
521,"Московская область, Москва г., Живописная ул., д. 12, корп. 1",54.9757141,73.3251893,"Величкин2,Чубуков.И"
533,"Москва, Москва, Южнобутовская, д. 2.",55.5292248,37.5113300,""
529,"Москва, М.о., г. Балашиха, мкр. Железнодорожный, ул. Автозаводская, д. 7А",55.7098733,37.6639694,"Максутов,Новосельцев"
2503,"Москва, Чечерский проезд, 51, ТЦ Бутово-молл (М.Бунниская Аллея)",55.5242275,37.5177929,""
2677,"Московская область, Борисово, 111А",54.9098817,37.4823328,""
2674,"Московская область, Московская ул., уч. 61 (МЦД - 1 Сетунь)",55.8862979,37.4422352,""
2675,"Московская область, ул. Бирлово Поле, 1А",56.3457538,37.5467266,""
2682,"Москва, Федоскинское, д. Шолохово",56.0516676,37.5830608,""
2672,"Москва, Федоскинское, д. Шолохово",56.0516676,37.5830608,""
2685,"Московская область, Московская ул., уч. 61 (МЦД - 1 Сетунь)",55.8862979,37.4422352,""
2688,"Московская область, Борисово, 111А",54.9098817,37.4823328,""
2686,"Московская область, ул. Бирлово Поле, 1А",56.3461438,37.5487876,""
2689,"Москва, Чечерский проезд, 51, ТЦ Бутово-молл (М.Бунниская Аллея)",55.5250680,37.5178030,""
2801,"Москва, Мичуринский пр-т, Олимпийская деревня, д. 4, к. 3",55.7505412,37.6174782,""
2828,"Московская область, Московская обл. д. Елино 20, корп.2",55.9901542,37.2738856,""
2811,"Московская область, Астахова ул., 4, к. 4",55.0673484,38.7513032,""
